CPU	 1	 1.1
CPU	 5	 0.666675
CPU	 3	 0.883325
CPU	 7	 0.466675
CPU	 41	 1.53333
CPU	 43	 1.3
CPU	 45	 1.06665
CPU	 47	 0.816675
CPU	 49	 0.6
CPU	 9	 5.41665
CPU	 11	 5.18332
CPU	 13	 4.96668
CPU	 15	 4.76665
CPU	 17	 4.55
CPU	 51	 5.11667
CPU	 53	 4.51668
CPU	 55	 4.25
CPU	 57	 4.03332
CPU	 59	 3.83335
CPU	 61	 3.65
CPU	 63	 3.43332
CPU	 65	 3.25
CPU	 67	 3.03333
CPU	 69	 2.83332
CPU	 71	 2.61667
CPU	 73	 2.41668
CPU	 75	 2.2
CPU	 77	 2.01668
CPU	 79	 1.8
CPU	 81	 1.56668
CPU	 83	 1.36665
CPU	 85	 1.15
CPU	 87	 0.95
CPU	 89	 0.733325
CPU	 91	 0.53335
CPU	 19	 4.33333
CPU	 21	 4.11667
CPU	 23	 3.9
CPU	 25	 3.68332
CPU	 27	 3.45
CPU	 29	 3.23332
CPU	 31	 3.01668
CPU	 33	 2.8
CPU	 35	 2.56665
CPU	 37	 2.31665
CPU	 39	 2.1
CPU	 93	 4.71665
CPU	 95	 4.5
CPU	 97	 4.26668
CPU	 99	 4.06668
IO	 4	 2968.57
IO	 2	 2969.02
IO	 0	 2969.4
IO	 14	 2968.53
IO	 18	 2968.48
IO	 44	 2965.5
IO	 24	 2968.12
IO	 58	 2963.55
IO	 16	 2969.1
IO	 74	 2962.17
IO	 42	 2966.33
IO	 6	 2970.72
IO	 76	 2962.22
IO	 36	 2967.37
IO	 86	 2961.33
IO	 8	 2970.83
IO	 60	 2964.35
IO	 84	 2961.9
IO	 26	 2969.12
IO	 70	 2963.55
IO	 90	 2961.38
IO	 50	 2966.5
IO	 56	 2965.5
IO	 54	 2965.9
IO	 72	 2963.92
IO	 78	 2963.28
IO	 46	 2967.35
IO	 52	 2966.23
IO	 64	 2964.83
IO	 40	 2968.12
IO	 62	 2965.07
IO	 48	 2967.2
IO	 10	 2971.73
IO	 80	 2963.28
IO	 94	 2961.47
IO	 28	 2969.87
IO	 92	 2962.08
IO	 12	 2971.75
IO	 88	 2962.63
IO	 20	 2970.93
IO	 22	 2970.6
IO	 82	 2963.28
IO	 98	 2961.22
IO	 30	 2969.73
IO	 34	 2969.23
IO	 66	 2965.07
IO	 68	 2964.85
IO	 38	 2968.8
IO	 96	 2961.45
IO	 32	 2969.58
